,Reviews,Summary
219,"[[ 0.02561934  0.5517574  -0.22080807 ... -0.31526944  0.08822408
   0.03406497]
 [ 0.14842418 -0.04057729 -0.19595014 ...  0.08843844  0.30918127
   0.14520726]
 [ 0.03345349  0.16482449 -0.26146647 ... -0.18200938  0.33696362
   0.2892754 ]
 [ 0.02487622  0.098897    0.02785468 ...  0.0292013   0.32596302
   0.03803864]
 [-0.00127594  0.08929129 -0.13960725 ...  0.03158781  0.24249114
   0.30274296]]","Шлем с хорошей защитой и вентиляцией, но не слишком удобен для длительного использования."
220,"[[ 0.12397695  0.22587769 -0.02538459 ...  0.36915252  0.239134
   0.12975116]
 [ 0.16911398 -0.13012983 -0.14010783 ... -0.07034602  0.2755512
   0.17798607]
 [ 0.06835364  0.08223945  0.35997337 ... -0.04369052  0.13254482
  -0.02250049]
 [-0.1343549   0.24663246  0.07287061 ...  0.1807986   0.41997853
  -0.01987952]
 [-0.11987577  0.12203101  0.19351949 ... -0.2751269   0.32963458
   0.292636  ]]","Электрический чайник с быстрым нагревом и хорошей ценой, но громкий и имеет некоторые недостатки в дизайне."
221,"[[ 0.05549649  0.14927267 -0.03174623 ... -0.21363956  0.1716747
  -0.04790274]
 [ 0.1076614   0.16101085  0.11311171 ...  0.05713112  0.30754945
   0.06128734]
 [-0.06118409 -0.08026544 -0.01728824 ...  0.02196602  0.07257513
   0.4654303 ]
 [ 0.23357394  0.13182825  0.05747449 ... -0.1718545   0.04764228
   0.13321319]
 [ 0.11322938  0.06515605  0.1923589  ... -0.18686414  0.27622002
   0.09025531]]","Рюкзак с хорошим дизайном и прочностью, но неудобный из-за жесткости и недостаточного количества отделений."
222,"[[-0.12229244  0.09934958 -0.01460737 ... -0.01037969  0.01921402
   0.08004301]
 [-0.01232752 -0.23341303  0.00366553 ...  0.1475965   0.05478946
   0.15605693]
 [-0.33515707 -0.07550292  0.21928842 ...  0.23234944  0.32084826
   0.10512871]
 [-0.02225671 -0.11741003 -0.00753308 ... -0.43970433  0.40246415
  -0.01273871]
 [ 0.04516397 -0.29720467  0.19638397 ... -0.07991735  0.24344945
  -0.03772541]]","Камера с хорошими фото и автофокусом, но ограниченные возможности для видео и настройки."
223,"[[ 0.17598483  0.03097398 -0.05318566 ...  0.03805221  0.25659806
   0.19455217]
 [ 0.16663684 -0.1885746  -0.05825718 ...  0.22397245  0.2987639
   0.1821074 ]
 [-0.1740355   0.407192    0.1545228  ...  0.21114329  0.34248996
   0.10861802]
 [-0.08899338  0.0296202  -0.10489351 ... -0.39248338  0.32174137
   0.18746553]
 [-0.00249366  0.13152184 -0.03663357 ...  0.12052114  0.30093712
   0.05606377]]","Гарнитура с отличным качеством звука, но не очень удобна для длительного использования и имеет проблемы с зарядом."
224,"[[ 0.07876875 -0.06171166  0.26945984 ...  0.4077424   0.32605147
  -0.03050587]
 [ 0.30908126 -0.06331818  0.2507997  ...  0.31106076  0.24906191
  -0.00718372]
 [ 0.2743005  -0.09884596  0.03408856 ... -0.33057755  0.35772228
  -0.03462527]
 [-0.18414155  0.01722483 -0.0879837  ...  0.04013073  0.45613194
   0.02613963]
 [-0.15579225 -0.02340184 -0.08166555 ... -0.07861938  0.1480513
  -0.02016447]]","Посудомоечная машина с хорошей эффективностью, но громкая и требует много воды."
225,"[[-0.05668203  0.06588042 -0.1169699  ... -0.14297181  0.38130617
   0.08207918]
 [ 0.24852265 -0.06507567 -0.00113465 ...  0.01005957  0.2614562
   0.08689159]
 [ 0.1722644   0.06685373 -0.00775203 ...  0.07865831  0.34684023
   0.29885337]
 [-0.07535014 -0.07443365  0.3063297  ... -0.29763982  0.49428502
   0.13136652]
 [-0.07125638  0.00841228  0.02560464 ... -0.06122119  0.2803276
   0.11803878]]","Миксер с хорошей мощностью и качеством, но тяжеловат и сложен в обслуживании."
226,"[[-0.40096688  0.20755109  0.04705524 ... -0.5420446   0.2635021
   0.21789756]
 [-0.27164042 -0.08492919  0.10437691 ... -0.1727048   0.41122216
   0.03969937]
 [-0.1255708   0.61642885 -0.03414965 ... -0.12989366  0.26988187
  -0.00573955]
 [ 0.26033807 -0.03718897 -0.10605465 ...  0.13307765  0.210375
   0.24282229]
 [-0.2523925   0.03152945  0.10994317 ...  0.21701428  0.460043
   0.07633074]]","Электрическая зубная щетка с отличной эффективностью, но высокая цена и проблемы с батареей."
227,"[[-0.12511382  0.34439033  0.03051012 ... -0.08107239  0.15151685
   0.2482336 ]
 [-0.07669646  0.6442086  -0.0328138  ... -0.25243083  0.06501529
  -0.13481452]
 [ 0.04216884  0.11313403 -0.06473923 ... -0.05485833  0.04297178
   0.11664359]
 [ 0.1595409  -0.15367353  0.01858647 ... -0.08900607  0.17437051
   0.08369538]
 [ 0.09851388  0.15517467 -0.07234203 ... -0.10800785  0.23062713
   0.1399074 ]]","Планшет с хорошей производительностью и экраном, но проблемы с перегревом и памятью."
228,"[[-0.02406949  0.06822443  0.14049156 ...  0.05386395  0.30596218
   0.010271  ]
 [-0.05849271  0.12700301  0.21967134 ...  0.03435437  0.31097528
  -0.00362065]
 [-0.06125775  0.10789782  0.0443456  ...  0.02579057  0.25867042
   0.16184935]
 [-0.06203226 -0.07991979  0.28105253 ...  0.12695593 -0.00762121
   0.24976602]
 [ 0.05935469  0.07229901  0.09982792 ...  0.08016431  0.33079755
  -0.022787  ]]","Духи с приятным ароматом, но недостаточно стойкие."
229,"[[-0.09157944  0.27869323 -0.28147057 ... -0.31000823  0.4650667
   0.36007407]
 [-0.20771824  0.09777    -0.12792811 ... -0.09153809  0.41127956
   0.34092215]
 [ 0.0856104  -0.24697307  0.12508923 ...  0.13999516  0.3629732
  -0.14162274]
 [-0.24705388  0.12084826 -0.01001929 ... -0.19524439  0.22453965
   0.17014149]
 [-0.01016625  0.21118338 -0.24585159 ... -0.04975153  0.5774083
   0.3489677 ]]","Принтер с отличным качеством печати, но дорогие картриджи и ограниченные функции."
230,"[[-0.23511271  0.622874   -0.10427781 ... -0.09519126  0.03058063
   0.00206148]
 [-0.24057722  0.17181246  0.06226097 ... -0.05483253  0.03337074
   0.21673006]
 [ 0.10120299 -0.06953824  0.02079788 ...  0.1347104   0.45978507
   0.02911462]
 [-0.0971377   0.16439088  0.07056753 ... -0.2874859   0.10243959
   0.00136114]
 [-0.08003783 -0.05307284  0.09373032 ...  0.08391865  0.29893637
   0.12152717]]","Смартфон с отличной камерой и экраном, но аккумулятор быстро разряжается и не поддерживает 5G."
231,"[[ 0.04464611  0.03240831  0.01912727 ...  0.15480246  0.35249236
   0.13866475]
 [ 0.2038537   0.05167672  0.07201713 ...  0.00546361  0.1792584
   0.01204802]
 [-0.05364244  0.30318326  0.11792681 ...  0.13203146  0.14803334
   0.20186119]
 [-0.09930254 -0.0024156   0.03661711 ... -0.1510237   0.6138663
   0.04799404]
 [ 0.06585684  0.3457404  -0.07741627 ...  0.0413663   0.01276308
   0.42306516]]","Блендер с хорошей мощностью, но шумный и требует много места."
232,"[[ 0.18606877  0.13334717 -0.1090515  ... -0.15659532  0.26016983
   0.07739971]
 [-0.07937905 -0.0376717   0.07929758 ...  0.15633252  0.31919912
  -0.01012368]
 [ 0.11024945  0.10191882  0.00862398 ... -0.09982655 -0.27383915
   0.09892699]
 [-0.10756763  0.38702187 -0.03899959 ... -0.00346022  0.14819114
   0.01815495]
 [ 0.09122442  0.19266495  0.04395489 ... -0.40526533  0.20361976
   0.2083582 ]]","Ноутбук с хорошей производительностью, но проблемы с перегревом и быстро разряжающейся батареей."
233,"[[-0.02767493  0.23706467 -0.02202278 ... -0.19152337  0.24232033
   0.0155175 ]
 [-0.07326061  0.05399268 -0.19353628 ... -0.31171975  0.17319703
   0.01002652]
 [-0.23057935  0.19759509 -0.11729547 ...  0.09215498  0.34499758
   0.20719753]
 [ 0.0295086  -0.00963177  0.02928569 ... -0.09433912  0.3018452
   0.13231014]
 [ 0.2550557  -0.08175854 -0.04083389 ...  0.122921    0.29647243
   0.11160467]]","Утюг с хорошей мощностью, но проблемы с равномерностью пара и накипью."
234,"[[ 0.02729934 -0.09036787 -0.05363974 ...  0.35944396  0.34738445
   0.00987653]
 [-0.02746421  0.03960105  0.04695443 ... -0.13594185  0.2955863
   0.11290175]
 [-0.10563058  0.00697478  0.19637147 ... -0.31892306  0.23524345
   0.2166806 ]
 [-0.03726288 -0.06295388 -0.11254549 ... -0.02677519  0.3155998
  -0.09988119]
 [-0.27536824 -0.3350123   0.06858496 ...  0.00629115  0.72089773
  -0.04168205]]","Соковыжималка с хорошей производительностью, но шумная и сложна в очистке."
235,"[[ 0.13616537  0.19997998  0.14363763 ...  0.10248923 -0.05815767
   0.15431248]
 [-0.09958621  0.11449168  0.11578349 ... -0.00951904  0.30716845
   0.15126105]
 [-0.18590966  0.7182654  -0.12285414 ... -0.05127947  0.3429457
  -0.10228765]
 [-0.05595357  0.18184575 -0.05883875 ... -0.0288504   0.34778523
   0.10563752]
 [ 0.02888582  0.09995263 -0.085983   ...  0.0188511   0.29595205
   0.34319437]]","Пылесос с отличной мощностью уборки, но неудобен для маленьких помещений и имеет проблемы с батареей."
236,"[[-0.09432801  0.04656415 -0.09238063 ...  0.15900463  0.23497702
   0.09272305]
 [ 0.18583842 -0.08094801  0.18175535 ...  0.00755225  0.35265914
   0.02510929]
 [-0.14982374  0.1273697   0.05627658 ...  0.10711925  0.25712672
  -0.01848169]
 [ 0.12202805  0.13354376 -0.05516426 ... -0.13955331  0.30548558
   0.13768987]
 [ 0.37440503 -0.00447105  0.04103348 ...  0.27199185  0.07401446
   0.07355   ]]","Робот-пылесос с хорошей автономностью, но проблемы с мощностью и ориентацией на больших площадях."
237,"[[-0.21444608 -0.20010075 -0.10751338 ...  0.34070298  0.46034932
  -0.02631323]
 [-0.0374997  -0.20228831  0.02196742 ... -0.06537529  0.23839276
   0.00921687]
 [ 0.07979135  0.22083147  0.05310619 ... -0.39023668  0.17978811
   0.10427877]
 [ 0.08234017  0.07496746 -0.14774956 ...  0.13897406  0.3245635
   0.31850877]
 [ 0.01886631  0.00148559 -0.24359822 ... -0.49341887  0.09134238
   0.0602663 ]]","Кофемашина с отличным кофе, но дорогие капсулы и сложность в обслуживании."
238,"[[-0.2849762   0.15186927  0.40685415 ...  0.26502347  0.3131819
   0.05435279]
 [-0.10756902 -0.00948356  0.22145751 ... -0.1562425   0.40558797
   0.19692148]
 [ 0.31929767  0.19425291  0.02689472 ... -0.15539962  0.1137767
   0.08906391]
 [ 0.07260115 -0.03987025  0.12542473 ... -0.09201033  0.36241427
   0.12117731]
 [ 0.10993126  0.2142632  -0.07347568 ... -0.10721833  0.08350356
   0.14479227]]","Плед мягкий и теплый, но слишком тяжелый и сложно стирается."
239,"[[-0.0447459   0.19861215  0.03427162 ...  0.07633278 -0.16150732
   0.14974098]
 [-0.18524238  0.04777148  0.03836833 ... -0.13627408  0.246533
   0.12343562]
 [ 0.10055792  0.21046858 -0.01751683 ... -0.36156407  0.23797536
   0.12331641]
 [-0.12628677 -0.05900334 -0.07676534 ... -0.01509871  0.3372492
   0.20056103]
 [-0.11874301  0.37404156 -0.00107737 ... -0.11984742  0.0500498
  -0.05953456]]","Часы с хорошим дизайном и качеством, но не хватает умных функций и страдают от быстрого разряда батареи."
240,"[[ 0.29089957  0.00397753 -0.12074652 ...  0.26034653  0.35060805
   0.24048595]
 [ 0.18730903  0.02884254 -0.0753455  ...  0.01251091  0.37217733
   0.09912489]
 [ 0.15523036 -0.01018119 -0.00421933 ...  0.34597996  0.33016396
   0.23654954]
 [-0.28413248  0.72679573 -0.08754423 ... -0.39541408  0.12359319
  -0.15266435]
 [ 0.06272443 -0.10203268  0.19333407 ...  0.15685195  0.25228634
   0.22400703]]","Наушники с отличным качеством звука и долгим временем работы, но громоздкие и не всегда удобные."
241,"[[-0.24978428  0.02049174 -0.01185517 ... -0.23840788  0.49686533
   0.11958172]
 [ 0.23631932  0.31339562 -0.12331848 ... -0.15101625  0.08254504
   0.2650521 ]
 [-0.11065205  0.2301229   0.09425708 ... -0.2872421  -0.00772448
   0.12036142]
 [ 0.00273522  0.06628036 -0.06059361 ...  0.22966011  0.35241127
  -0.10681302]
 [ 0.0106862   0.25565195 -0.09071443 ... -0.26442352  0.25282478
   0.12339688]]","Тостер с быстрой работой, но проблемы с неравномерным поджариванием и перегревом."
242,"[[ 0.18130033  0.27688867 -0.13214645 ... -0.00143219  0.11158619
   0.00145604]
 [ 0.07578214 -0.01681967 -0.12213054 ... -0.4241996  -0.01640329
   0.18939258]
 [-0.01742427  0.04259484 -0.00225172 ...  0.0679872   0.25088736
   0.12413687]
 [ 0.06796335 -0.10520056  0.08561552 ... -0.11372998  0.42085412
   0.06638282]
 [ 0.03913336 -0.07594725 -0.07789329 ...  0.13911097  0.3131029
   0.23286596]]","Духовка с хорошей мощностью, но долго разогревается и требует ухода."
243,"[[ 0.00051401  0.1985662  -0.19346213 ... -0.01527054  0.08829754
   0.06760295]
 [ 0.04679727  0.18954931  0.05253629 ... -0.15973736  0.3329964
   0.15320429]
 [-0.16181445  0.03820786 -0.03511501 ... -0.04706044  0.3326054
   0.00629345]
 [ 0.07668231  0.32335004 -0.00593915 ...  0.06525331  0.2092353
   0.1409158 ]
 [-0.13059682  0.16560423  0.02395412 ...  0.07989202  0.38671649
   0.14951596]]","Микроволновка с хорошей производительностью, но неравномерно разогревает и имеет небольшой объем."
244,"[[ 0.09684279 -0.10529142  0.27538833 ...  0.26806656  0.32896844
  -0.0597263 ]
 [ 0.29390442 -0.01171577  0.0100571  ...  0.24920647  0.45311183
   0.19743297]
 [ 0.08344548  0.08423356  0.07544897 ...  0.04345561  0.36805987
  -0.04569797]
 [-0.09433641  0.10335358  0.08771171 ... -0.19485839  0.22317813
   0.15544724]
 [ 0.01452103 -0.02650865  0.09988898 ...  0.05699447  0.38743767
  -0.05229274]]","Посудомойка с хорошей мойкой посуды, но иногда оставляет разводы и имеет проблемы с застреванием посуды."
245,"[[ 0.05758028  0.2238024   0.14777847 ...  0.02662361  0.16962902
   0.19316454]
 [-0.02215781  0.13952252 -0.07995044 ... -0.5047926   0.03440652
   0.03837549]
 [-0.02275844  0.19975904 -0.07050771 ... -0.07946271  0.06509432
   0.2685058 ]
 [-0.04333691 -0.0460269   0.00658977 ... -0.08244654  0.36583662
   0.05427532]
 [-0.19932753  0.11996602 -0.00719994 ... -0.25421757  0.20701149
   0.04870787]]","Холодильник с хорошей системой охлаждения, но малый объем и неравномерное распределение холода."
246,"[[ 0.02793373  0.00361308  0.289175   ... -0.1563138   0.19623463
   0.01472762]
 [-0.20546451  0.02896531  0.20222764 ...  0.09730711  0.41711137
   0.05885367]
 [ 0.08107434  0.20012338  0.11666872 ... -0.31122983  0.32939425
   0.16462067]
 [ 0.03035377  0.11761283  0.21160139 ... -0.2528191   0.20072174
   0.08415752]
 [-0.01742427  0.04259477 -0.00225171 ...  0.0679872   0.25088736
   0.12413684]]","Стиральная машина с хорошей стиркой, но очень долгая и требует много места."
247,"[[ 0.31068066  0.18731579 -0.04450824 ...  0.20034888  0.1721213
   0.2735302 ]
 [-0.06592801  0.00218202 -0.07859401 ...  0.22470115  0.41115066
   0.04319282]
 [ 0.03271332 -0.10014659 -0.05404512 ... -0.3915433   0.17548227
  -0.09371955]
 [ 0.20436807  0.13174485 -0.01229246 ...  0.03718173  0.36145347
   0.21363226]
 [ 0.16505954  0.1263862   0.0751362  ...  0.1160953   0.12156908
   0.08520136]]","Очиститель воздуха с хорошей производительностью, но громкий и требует частой замены фильтра."
248,"[[ 0.16371252 -0.04891146 -0.17166445 ... -0.11874534  0.41957608
   0.06883091]
 [ 0.06823216  0.16258393  0.03547006 ... -0.04170555  0.1613002
   0.07353488]
 [ 0.15360576  0.3141827   0.10628807 ... -0.01406023  0.15013774
   0.23761508]
 [-0.11124273  0.03361198  0.20396785 ... -0.31458995  0.42089224
   0.1006526 ]
 [-0.05817361 -0.06419642 -0.09097374 ... -0.48112145  0.09424269
   0.08503317]]","Сковорода с хорошим прогревом, но слишком тяжелая и склонна к образованию нагара."
249,"[[-0.17170443 -0.10430014  0.05230512 ... -0.16206142  0.21148767
   0.06932614]
 [ 0.3725796   0.0370329  -0.07232005 ...  0.22811519  0.3601221
   0.18119267]
 [ 0.00442006  0.13343933  0.0210695  ... -0.12561063  0.11595652
   0.11021895]
 [-0.06007306  0.10893387  0.12621826 ... -0.10225236  0.22405969
   0.02583466]
 [-0.17700858  0.19824183  0.08816081 ...  0.11629316  0.41214976
   0.02336054]]","Фен с хорошей мощностью, но сушит волосы, шумный и имеет короткий кабель."
250,"[[ 0.03903562  0.00680745  0.05991646 ... -0.20353937 -0.04566871
   0.09568692]
 [-0.10503008  0.31074825 -0.04398638 ... -0.14301036  0.28964272
  -0.04179756]
 [-0.05235706  0.16158095  0.23944065 ... -0.11180089  0.19971557
   0.23570533]
 [ 0.27881145  0.02216272 -0.04265347 ...  0.14589752  0.3390315
   0.16553101]
 [-0.04317733  0.12237849 -0.16043028 ...  0.03988434  0.27358675
   0.0962744 ]]","Пылесос с хорошей мощностью, но громоздкий, тяжелый и не подходит для ковров."
251,"[[ 0.01587403 -0.2565453  -0.15795615 ... -0.3541014   0.23749599
  -0.01512618]
 [ 0.07437962  0.10804291 -0.29516008 ... -0.3926259   0.34558883
   0.01969334]
 [ 0.11861128 -0.01995173 -0.07292767 ... -0.3108759   0.11792103
   0.02457809]
 [ 0.0553469   0.02685319  0.06579807 ... -0.05752307  0.35024172
   0.07056132]
 [ 0.09441824  0.06935395 -0.11803965 ... -0.28875     0.252626
   0.14128411]]","Видеокарта с высокой производительностью, но дорогая, сильно греется и требует много энергии."
252,"[[ 0.14135681 -0.00520067 -0.1422559  ...  0.09582888  0.38701716
  -0.0763084 ]
 [ 0.23970325 -0.07084289  0.11820006 ...  0.02116653  0.11860151
   0.11028498]
 [ 0.16340527  0.07403988 -0.06026477 ...  0.07552325  0.3257017
   0.07795905]
 [ 0.22485863 -0.23005229  0.01451735 ...  0.30972183  0.27907112
   0.24820735]
 [ 0.30588636 -0.22556126 -0.17697398 ...  0.35055676  0.25342944
   0.01538656]]","Гарнитура с хорошим звуком, но с проблемами с микрофоном и удобством."
253,"[[-0.07160395  0.14401299 -0.13357206 ... -0.12404951 -0.04133069
   0.0946053 ]
 [ 0.01207677 -0.13492028  0.01402714 ...  0.10754968  0.17686489
   0.10009595]
 [ 0.20455132  0.12488616  0.1695575  ...  0.15910381  0.06180417
   0.11182061]
 [ 0.13781263  0.22000304 -0.00230056 ... -0.4165281   0.11763015
   0.16396064]
 [-0.12946123  0.02416833 -0.10302153 ... -0.03369239  0.23628893
   0.21835655]]","Проектор с хорошим качеством изображения, но требует темного помещения и неудобный пульт."
254,"[[ 0.12113535  0.24179521 -0.17120431 ... -0.17235889  0.23866981
   0.00345756]
 [-0.18654136  0.47505394 -0.22212745 ...  0.03315508  0.0583104
  -0.01712988]
 [ 0.00997696 -0.1081735   0.05542786 ... -0.01105209  0.07271033
   0.11101907]
 [ 0.0776511  -0.19366223  0.05116082 ...  0.32256052  0.23639512
   0.16721345]
 [-0.15663673  0.15149832  0.01356572 ... -0.2653194   0.1925203
   0.01503276]]","Шлем виртуальной реальности с отличным качеством, но неудобен для длительного использования и ограничен в играх."
255,"[[ 0.1957002   0.08041074  0.04744125 ... -0.34463555  0.05696884
  -0.00677965]
 [-0.04222124  0.1549134   0.10088776 ... -0.2733178   0.17313832
   0.2534076 ]
 [ 0.2546936   0.00543966 -0.06575187 ...  0.08845172  0.22945441
   0.1138801 ]
 [ 0.21366014  0.11712863 -0.04553966 ... -0.368108    0.21285652
   0.00191991]
 [ 0.13704738  0.17979367 -0.01305385 ... -0.33746237  0.00641589
   0.12400382]]","Гардероб с хорошим качеством, но сложный в сборке, тяжелый и неудобный из-за заедающих дверей."
256,"[[ 0.00703653  0.39716882 -0.00612968 ... -0.34738967  0.03460957
   0.13653748]
 [-0.06780198 -0.00649286  0.05029346 ...  0.07430423  0.18436833
   0.02874893]
 [ 0.137374    0.44531822 -0.1049372  ... -0.40789106 -0.01844816
   0.17878193]
 [ 0.10239287  0.3152565  -0.09864053 ... -0.18401471  0.04378209
   0.09392774]
 [-0.04169722  0.10694865 -0.20057708 ...  0.18839334  0.49853495
  -0.02539212]]","Термос с хорошими термоизоляционными свойствами, но слишком громоздкий и тяжелый."
257,"[[-0.2699798  -0.42161706 -0.03124676 ...  0.22044219  0.36908856
   0.12662525]
 [ 0.21597286  0.05104804 -0.04100959 ...  0.29937807  0.27881673
   0.2272462 ]
 [-0.18851328 -0.17932838  0.03304376 ...  0.3037362   0.31920022
  -0.07424498]
 [-0.13807496 -0.14855224 -0.02572636 ... -0.36985743  0.24983011
  -0.01633356]
 [-0.09994422  0.02503517  0.09055466 ...  0.05234616  0.5840658
  -0.04790562]]","Кофемашина с отличным вкусом, но слишком шумная и требует много времени на очистку."
258,"[[ 0.24413618  0.30393603 -0.18843144 ... -0.6790106   0.11363034
  -0.05929604]
 [ 0.00868727 -0.06873295  0.09814104 ...  0.04114936  0.20476872
   0.07346889]
 [-0.06727491 -0.01051916  0.21034363 ...  0.17605963  0.32321563
   0.07318573]
 [ 0.0158614   0.31981444  0.04626145 ... -0.07317287  0.16298285
   0.18358462]
 [-0.07152366 -0.12678204  0.0785246  ... -0.16008183  0.27287307
  -0.06868708]]","Ноутбук с высокой производительностью, но дорогой, быстро разряжается и перегревается."
259,"[[-1.3688993e-01  1.6950497e-01  2.0359169e-01 ...  3.7115254e-02
   1.9522595e-01  4.5168495e-01]
 [ 3.5422465e-01 -1.9662594e-04  1.0070672e-02 ...  9.3358792e-02
   2.3350362e-01  9.8680817e-02]
 [-7.1510263e-02 -8.1270291e-03 -1.5337330e-01 ... -5.4776734e-01
   1.4845754e-01  1.0035139e-02]
 [-1.2843527e-01  2.1543805e-01 -5.5026915e-02 ... -3.3479910e-02
   3.5401276e-01  2.1037650e-01]
 [-4.7211565e-02  7.7567890e-02 -4.6204112e-02 ... -5.1415022e-02
   2.6085904e-01  2.4819574e-01]]","Флешка с хорошей скоростью, но дорогая и имеет малый объем."
260,"[[ 0.12904622 -0.14728218 -0.13065383 ... -0.06029986  0.08283579
   0.21310411]
 [-0.05096607  0.06379434 -0.13378233 ...  0.1416364   0.34565675
   0.00348564]
 [ 0.09859589  0.08784252  0.04765387 ... -0.294371    0.40045908
   0.24278186]
 [ 0.11128975  0.0504654  -0.01055603 ...  0.0373004   0.22120357
   0.15291363]
 [ 0.1279632  -0.19311251 -0.04283569 ...  0.2746196   0.59849185
   0.1098632 ]]","Тренажер с хорошим качеством, но громоздкий и требует обслуживания."
261,"[[ 0.1281571  -0.03725364  0.0324543  ... -0.06885701  0.12586416
   0.308884  ]
 [ 0.13136272  0.03470363  0.26515996 ...  0.26202232  0.32182765
  -0.03795263]
 [ 0.05380312 -0.00298172 -0.15441906 ...  0.01386458 -0.02776209
   0.26468742]
 [-0.01718636 -0.04580142 -0.12849672 ... -0.4763434   0.20487821
   0.06742801]
 [ 0.19354089  0.04893756 -0.16307022 ... -0.09526552  0.23749398
   0.19409655]]","Холодильник с отличным качеством, но шумит и занимает много места."
262,"[[-0.2846348   0.1078527   0.26932395 ... -0.17845744  0.09356037
   0.24554239]
 [ 0.22337092  0.16963501  0.13141276 ... -0.16656399  0.09564948
   0.10013876]
 [-0.04087006  0.08482869  0.19141306 ...  0.0064952   0.21688733
   0.19331902]
 [-0.0061923   0.21802066  0.19370624 ...  0.01639468  0.22023427
   0.01336297]
 [ 0.2964628   0.28276622  0.02291331 ... -0.13358268  0.24202655
   0.30474684]]","Кроссовки с хорошей амортизацией, но быстро стираются и неудобны для долгих прогулок."
263,"[[ 0.12346929  0.19828548 -0.02231894 ... -0.3290339   0.02317414
   0.0482397 ]
 [ 0.00660849  0.10457366  0.0926944  ... -0.10757917 -0.01850515
   0.01021751]
 [-0.03090687 -0.02058631  0.13693136 ... -0.13427362  0.2488201
   0.04030579]
 [ 0.03825749  0.09634189  0.08050285 ...  0.19355485 -0.12733118
   0.19486597]
 [-0.19373633 -0.04298285  0.15491107 ...  0.37048694  0.3690192
  -0.01820971]]","Монитор с отличным качеством изображения, но дорогой и имеет слабую подсветку."
264,"[[-0.01393635  0.11806614 -0.1973922  ...  0.01634045  0.24900171
   0.19507638]
 [ 0.1488153  -0.12303041  0.00339369 ... -0.02184914  0.25066075
   0.1103626 ]
 [ 0.03365434  0.07777678 -0.09555584 ...  0.00848083  0.47497553
   0.11164252]
 [ 0.33476803 -0.07701647  0.11001322 ... -0.16459452  0.2667948
  -0.0394983 ]
 [-0.05243548 -0.06488357  0.08242743 ... -0.02147476  0.3230034
   0.13555016]]","Наушники с хорошим звуком, но теряют заряд и неудобны для длительного использования."
265,"[[-3.41369420e-01  6.72043622e-01 -2.44861841e-02 ... -9.51131061e-02
   1.35644928e-01  1.16409250e-02]
 [-1.15915895e-01 -1.85454026e-01 -7.88395479e-02 ...  1.43148871e-02
   1.71970204e-01  1.16219139e-02]
 [ 1.20382376e-01  5.23085475e-01 -2.84944773e-01 ... -5.06841600e-01
   3.82011905e-02  1.01332061e-01]
 [ 1.96299013e-02  1.79890469e-01  3.14902700e-02 ...  1.58833034e-04
   2.95536995e-01  1.66882649e-01]
 [-6.79201633e-02 -1.02437958e-02 -8.05119500e-02 ... -2.90139437e-01
   1.51836857e-01 -2.58379639e-03]]","Смартфон с хорошими характеристиками, но быстро садится аккумулятор и перегревается."
266,"[[ 0.12962739  0.21230504 -0.14164326 ... -0.01735831 -0.15535107
   0.24334992]
 [ 0.2508357   0.17412807  0.08241177 ...  0.03855352 -0.04387533
   0.15745056]
 [-0.13308905  0.5314681  -0.13647157 ... -0.33494133  0.32638195
   0.0615552 ]
 [ 0.0840095   0.13516662 -0.06372517 ... -0.5368671   0.140813
   0.06025411]
 [ 0.06380463  0.0514035   0.14072144 ...  0.06416779  0.28027064
  -0.00715987]]","Часы с точным временем, но громоздкие и дорогие."
267,"[[-0.31578282  0.05497042  0.08512322 ...  0.06821146  0.3105485
   0.0601183 ]
 [-0.10418992 -0.07389753  0.08409629 ...  0.02924033  0.0139202
   0.09207585]
 [ 0.02049795 -0.05339372  0.08244922 ... -0.00305926  0.22515498
   0.23093231]
 [ 0.03859571 -0.27711332  0.07211173 ... -0.22593427  0.222087
  -0.00928628]
 [-0.08067123  0.00060957  0.02036702 ...  0.06136445  0.4697539
   0.10918933]]","Таблетка с хорошей производительностью, но быстро разряжается и имеет ограниченную память."
268,"[[-0.25408894  0.08595496 -0.04653812 ... -0.1559283   0.04157339
   0.12648118]
 [ 0.16989069  0.10950512  0.05496431 ...  0.3190076   0.2799265
   0.05653877]
 [ 0.0578021  -0.09532405 -0.12184261 ... -0.03557973  0.3370289
   0.18449485]
 [ 0.05934397  0.03411213  0.12098295 ...  0.00601302  0.23446855
   0.19333215]
 [-0.14152978  0.18819973  0.0190845  ...  0.17405567  0.46496993
   0.03824692]]","Робот-пылесос с хорошей работоспособностью, но требует много времени на зарядку и часто застревает."
269,"[[-0.08534501  0.48576888  0.01529643 ... -0.16716443  0.13027863
   0.20897722]
 [-0.23677796  0.1870245  -0.12130216 ... -0.05325038  0.16267368
   0.08293226]
 [-0.24838874  0.6303766   0.01612308 ...  0.00515341  0.34514135
  -0.06674361]
 [-0.08815946  0.11065858  0.05426818 ... -0.0584453   0.0647334
   0.01921767]
 [-0.0158949   0.1384698  -0.12353174 ... -0.08018839  0.09817527
   0.1127698 ]]","Планшет с хорошими характеристиками, но перегревается и быстро разряжается."
